clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
2,945,0,0,0,1,0,0,0,1,0,0,0,0,-0.8397080655767674,0.3195728903296401,-0.20160953101033707,-0.900973548559443,-0.9538352094776489,-0.8909474455736287
4,746,0,0,0,0,1,0,0,0,1,0,0,0,-0.9026870461760679,-1.8017076913265242,1.555345261751314,-0.980895820015441,-0.9269904911961196,-1.1206388248933274
1,5866,0,0,1,0,0,0,0,0,0,0,1,0,0.9237033912036435,0.03673547944214751,0.2376291671800757,0.990520209232509,1.0416221827826762,1.0183621450213658
1,5006,0,0,0,1,0,1,0,0,0,0,0,0,0.44086453994234054,-0.033973873279720616,-0.20160953101033707,0.6708311234085176,0.6300031691325644,0.6451136536268559
3,666,0,1,0,0,0,0,0,0,0,0,1,0,-0.8397080655767674,1.4509225338795904,-1.5193256255815755,-0.9364945580954421,-0.9090940123417673,-0.7761017559137793
6,1914,0,0,0,1,0,0,0,0,1,0,0,0,-0.5667991496464657,-0.6703580477765739,0.2376291671800757,-0.4303201722074547,-0.49747499869165557,-0.5320546653865997
2,1348,0,0,0,1,0,0,0,0,0,0,0,1,-0.5248131625802654,-0.8824861059421883,0.6768678653704885,-0.35927815313545647,-0.40799260441989166,-0.47463182055667497
4,1286,0,0,0,1,0,1,0,0,0,0,0,0,-0.8187150720436673,-1.7309983386046561,0.2376291671800757,-0.7677697627994461,-0.792766899788475,-0.9483702904035534
2,1343,0,0,1,0,0,0,1,0,0,0,0,0,-0.608785136712666,-0.45822998961095446,-0.6408482292007498,-0.501362191279453,-0.4795785198373025,-0.5320546653865997
3,1850,0,1,0,0,0,0,0,0,1,0,0,0,-0.37786220784856456,-0.5289393423328276,1.9945839599417268,-0.2882361340634582,-0.2111313370220123,-0.3023632860669009
2,11998,0,0,0,0,1,0,0,1,0,0,0,0,1.616472177795948,-1.0239048113859346,-0.20160953101033707,1.6121378761124934,1.6679989426850197,1.4777449036607633
3,7026,0,0,1,0,0,0,0,1,0,0,0,0,0.46185753347544073,0.1781541848858938,-0.20160953101033707,0.644190366256518,0.6300031691325644,0.6594693648343367
4,5743,0,1,0,0,0,0,0,0,0,1,0,0,0.4198715464092404,-1.1653235168296758,1.9945839599417268,0.5731483471845198,0.6568478874140928,0.4584894079296003
4,4670,0,0,0,0,1,0,0,0,0,1,0,0,0.2309346046113393,-1.660288985882783,2.4338226581321396,0.5198668328805215,0.4868313382977427,0.2862208734398269
